producttype,module,description_general,description_a1,description_a2,description_a3,description_s1,description_s2,description_s3
LMD-E 213 WL,D,"Benefits and loads beyond the system boundary from reuse, recovery and recycling potential. Credits from avoided primary production are declared.",,,,"Credits from recycling of the 95% steel fraction, avoiding the need for new primary steel production. Module D accounts for all net benefits associated with steel scrap sent to an external recycling facility.","Credits from reuse of 80% of the ceiling system in a new building, avoiding manufacturing impacts (A1–A3) of a new product. Additional credits from recycling of the remaining 20% steel fraction sent to an external facility.",
LMD-E 214/1,A1-A3,"Production stage covers raw material handling by coil, perforating base plates, edging ceiling panels, cleaning, powder-coating and acoustic non-woven application. All production takes place at the Lindner plant in Arnstorf. Packaging materials are included (inkl. packaging).","Raw material supply (A1) covers the extraction and processing of steel coils (≥97% steel content) and ancillary materials including surface coating, acoustic non-woven (cellulose/glass) and hotmelt adhesive.","Transport of raw materials to manufacturer (A2) covers inbound logistics from all suppliers to the Lindner manufacturing facility in Arnstorf. This includes truck, rail and ship transport depending on material origin.","Lindner Manufacturing (A3) covers all production processes including perforating and punching steel coils, edging ceiling panels, cleaning, powder-coating and acoustic fleece application. Factory energy consumption and product packaging are included.",,,
LMD-E 214/1,A4,"Transport of finished metal ceiling systems from the Lindner production facility in Arnstorf to the construction site by truck. Default transport distance is 500 km, scalable.",,,,,,
LMD-E 214/1,A5,Installation of the ceiling system on site by trained drywall construction personnel. The ceiling panel and substructure are installed mechanically. Module A5 covers only the environmental loads associated with disposal of packaging waste generated on site. No further environmental loads arise during installation.,,,,,,
LMD-E 214/1,C1,"Deconstruction of the metal ceiling system from the building, including separation of steel panels and substructures on the construction site. Module is declared as 0 — no significant environmental loads arise during dismantling.",,,,Standard mechanical dismantling and sorting of ceiling panels and substructures on the construction site. Materials separated for transport to recycling facility. Module declared as 0.,Careful manual disassembly by trained professionals to preserve product integrity for reuse in a new building. No damage to ceiling panels during dismantling. Module declared as 0.,
LMD-E 214/1,C2,"Transport of ceiling panels and substructures from the deconstruction site to the waste processing facility or, in the case of reuse, to a new building location.",,,,Ceiling products transported 100 km by diesel truck from the deconstruction site to the nearest recycling centre.,80% of products transported 500 km to the new building location. Remaining 20% (primarily substructures) transported 100 km to the nearest recycling centre by diesel truck.,
LMD-E 214/1,C3,"Waste processing operations at end of life. For the steel fraction, material is prepared for recycling. The acoustic fleece inlay and surface coating are sent for incineration.",,,,95% of the metal ceiling system is directed to recycling. Environmental impacts from waste treatment of the fleece inlay and surface coating through incineration are declared in this module.,20% of the metal ceiling system (primarily substructures) is directed to recycling. Environmental impacts from waste treatment of the fleece inlay and surface coating through incineration are declared in this module.,
LMD-E 214/1,C4,Final waste disposal to landfill for non-recyclable components or process losses from the end-of-life stage.,,,,"5% of the metal ceiling system, comprising non-recyclable components and process losses, is directed to landfill.",No landfill contribution — the steel fraction is fully reused or recycled and does not contribute to landfill. C4/1 declared as 0.,
LMD-E 214/1,D,"Benefits and loads beyond the system boundary from reuse, recovery and recycling potential. Credits from avoided primary production are declared.",,,,"Credits from recycling of the 95% steel fraction, avoiding the need for new primary steel production. Module D accounts for all net benefits associated with steel scrap sent to an external recycling facility.","Credits from reuse of 80% of the ceiling system in a new building, avoiding manufacturing impacts (A1–A3) of a new product. Additional credits from recycling of the remaining 20% steel fraction sent to an external facility.",
LMD-E 300/1,A1-A3,"Production stage covers raw material handling by coil, perforating base plates, edging ceiling panels, cleaning, powder-coating and acoustic non-woven application. All production takes place at the Lindner plant in Arnstorf. Packaging materials are included (inkl. packaging).","Raw material supply (A1) covers the extraction and processing of steel coils (≥97% steel content) and ancillary materials including surface coating, acoustic non-woven (cellulose/glass) and hotmelt adhesive.","Transport of raw materials to manufacturer (A2) covers inbound logistics from all suppliers to the Lindner manufacturing facility in Arnstorf. This includes truck, rail and ship transport depending on material origin.","Lindner Manufacturing (A3) covers all production processes including perforating and punching steel coils, edging ceiling panels, cleaning, powder-coating and acoustic fleece application. Factory energy consumption and product packaging are included.",,,
LMD-E 300/1,A4,"Transport of finished metal ceiling systems from the Lindner production facility in Arnstorf to the construction site by truck. Default transport distance is 500 km, scalable.",,,,,,
LMD-E 300/1,A5,Installation of the ceiling system on site by trained drywall construction personnel. The ceiling panel and substructure are installed mechanically. Module A5 covers only the environmental loads associated with disposal of packaging waste generated on site. No further environmental loads arise during installation.,,,,,,
LMD-E 300/1,C1,"Deconstruction of the metal ceiling system from the building, including separation of steel panels and substructures on the construction site. Module is declared as 0 — no significant environmental loads arise during dismantling.",,,,Standard mechanical dismantling and sorting of ceiling panels and substructures on the construction site. Materials separated for transport to recycling facility. Module declared as 0.,Careful manual disassembly by trained professionals to preserve product integrity for reuse in a new building. No damage to ceiling panels during dismantling. Module declared as 0.,
LMD-E 300/1,C2,"Transport of ceiling panels and substructures from the deconstruction site to the waste processing facility or, in the case of reuse, to a new building location.",,,,Ceiling products transported 100 km by diesel truck from the deconstruction site to the nearest recycling centre.,80% of products transported 500 km to the new building location. Remaining 20% (primarily substructures) transported 100 km to the nearest recycling centre by diesel truck.,
LMD-E 300/1,C3,"Waste processing operations at end of life. For the steel fraction, material is prepared for recycling. The acoustic fleece inlay and surface coating are sent for incineration.",,,,95% of the metal ceiling system is directed to recycling. Environmental impacts from waste treatment of the fleece inlay and surface coating through incineration are declared in this module.,20% of the metal ceiling system (primarily substructures) is directed to recycling. Environmental impacts from waste treatment of the fleece inlay and surface coating through incineration are declared in this module.,
LMD-E 300/1,C4,Final waste disposal to landfill for non-recyclable components or process losses from the end-of-life stage.,,,,"5% of the metal ceiling system, comprising non-recyclable components and process losses, is directed to landfill.",No landfill contribution — the steel fraction is fully reused or recycled and does not contribute to landfill. C4/1 declared as 0.,
LMD-E 300/1,D,"Benefits and loads beyond the system boundary from reuse, recovery and recycling potential. Credits from avoided primary production are declared.",,,,"Credits from recycling of the 95% steel fraction, avoiding the need for new primary steel production. Module D accounts for all net benefits associated with steel scrap sent to an external recycling facility.","Credits from reuse of 80% of the ceiling system in a new building, avoiding manufacturing impacts (A1–A3) of a new product. Additional credits from recycling of the remaining 20% steel fraction sent to an external facility.",
LMD-E 312,A1-A3,"Production stage covers raw material handling by coil, perforating base plates, edging ceiling panels, cleaning, powder-coating and acoustic non-woven application. All production takes place at the Lindner plant in Arnstorf. Packaging materials are included (inkl. packaging).","Raw material supply (A1) covers the extraction and processing of steel coils (≥97% steel content) and ancillary materials including surface coating, acoustic non-woven (cellulose/glass) and hotmelt adhesive.","Transport of raw materials to manufacturer (A2) covers inbound logistics from all suppliers to the Lindner manufacturing facility in Arnstorf. This includes truck, rail and ship transport depending on material origin.","Lindner Manufacturing (A3) covers all production processes including perforating and punching steel coils, edging ceiling panels, cleaning, powder-coating and acoustic fleece application. Factory energy consumption and product packaging are included.",,,
LMD-E 312,A4,"Transport of finished metal ceiling systems from the Lindner production facility in Arnstorf to the construction site by truck. Default transport distance is 500 km, scalable.",,,,,,
LMD-E 312,A5,Installation of the ceiling system on site by trained drywall construction personnel. The ceiling panel and substructure are installed mechanically. Module A5 covers only the environmental loads associated with disposal of packaging waste generated on site. No further environmental loads arise during installation.,,,,,,
LMD-E 312,C1,"Deconstruction of the metal ceiling system from the building, including separation of steel panels and substructures on the construction site. Module is declared as 0 — no significant environmental loads arise during dismantling.",,,,Standard mechanical dismantling and sorting of ceiling panels and substructures on the construction site. Materials separated for transport to recycling facility. Module declared as 0.,Careful manual disassembly by trained professionals to preserve product integrity for reuse in a new building. No damage to ceiling panels during dismantling. Module declared as 0.,
LMD-E 312,C2,"Transport of ceiling panels and substructures from the deconstruction site to the waste processing facility or, in the case of reuse, to a new building location.",,,,Ceiling products transported 100 km by diesel truck from the deconstruction site to the nearest recycling centre.,80% of products transported 500 km to the new building location. Remaining 20% (primarily substructures) transported 100 km to the nearest recycling centre by diesel truck.,
LMD-E 312,C3,"Waste processing operations at end of life. For the steel fraction, material is prepared for recycling. The acoustic fleece inlay and surface coating are sent for incineration.",,,,95% of the metal ceiling system is directed to recycling. Environmental impacts from waste treatment of the fleece inlay and surface coating through incineration are declared in this module.,20% of the metal ceiling system (primarily substructures) is directed to recycling. Environmental impacts from waste treatment of the fleece inlay and surface coating through incineration are declared in this module.,
LMD-E 312,C4,Final waste disposal to landfill for non-recyclable components or process losses from the end-of-life stage.,,,,"5% of the metal ceiling system, comprising non-recyclable components and process losses, is directed to landfill.",No landfill contribution — the steel fraction is fully reused or recycled and does not contribute to landfill. C4/1 declared as 0.,
LMD-E 312,D,"Benefits and loads beyond the system boundary from reuse, recovery and recycling potential. Credits from avoided primary production are declared.",,,,"Credits from recycling of the 95% steel fraction, avoiding the need for new primary steel production. Module D accounts for all net benefits associated with steel scrap sent to an external recycling facility.","Credits from reuse of 80% of the ceiling system in a new building, avoiding manufacturing impacts (A1–A3) of a new product. Additional credits from recycling of the remaining 20% steel fraction sent to an external facility.",
LMD-E 321/1,A1-A3,"Production stage covers raw material handling by coil, perforating base plates, edging ceiling panels, cleaning, powder-coating and acoustic non-woven application. All production takes place at the Lindner plant in Arnstorf. Packaging materials are included (inkl. packaging).","Raw material supply (A1) covers the extraction and processing of steel coils (≥97% steel content) and ancillary materials including surface coating, acoustic non-woven (cellulose/glass) and hotmelt adhesive.","Transport of raw materials to manufacturer (A2) covers inbound logistics from all suppliers to the Lindner manufacturing facility in Arnstorf. This includes truck, rail and ship transport depending on material origin.","Lindner Manufacturing (A3) covers all production processes including perforating and punching steel coils, edging ceiling panels, cleaning, powder-coating and acoustic fleece application. Factory energy consumption and product packaging are included.",,,
LMD-E 321/1,A4,"Transport of finished metal ceiling systems from the Lindner production facility in Arnstorf to the construction site by truck. Default transport distance is 500 km, scalable.",,,,,,
LMD-E 321/1,A5,Installation of the ceiling system on site by trained drywall construction personnel. The ceiling panel and substructure are installed mechanically. Module A5 covers only the environmental loads associated with disposal of packaging waste generated on site. No further environmental loads arise during installation.,,,,,,
LMD-E 321/1,C1,"Deconstruction of the metal ceiling system from the building, including separation of steel panels and substructures on the construction site. Module is declared as 0 — no significant environmental loads arise during dismantling.",,,,Standard mechanical dismantling and sorting of ceiling panels and substructures on the construction site. Materials separated for transport to recycling facility. Module declared as 0.,Careful manual disassembly by trained professionals to preserve product integrity for reuse in a new building. No damage to ceiling panels during dismantling. Module declared as 0.,
LMD-E 321/1,C2,"Transport of ceiling panels and substructures from the deconstruction site to the waste processing facility or, in the case of reuse, to a new building location.",,,,Ceiling products transported 100 km by diesel truck from the deconstruction site to the nearest recycling centre.,80% of products transported 500 km to the new building location. Remaining 20% (primarily substructures) transported 100 km to the nearest recycling centre by diesel truck.,
LMD-E 321/1,C3,"Waste processing operations at end of life. For the steel fraction, material is prepared for recycling. The acoustic fleece inlay and surface coating are sent for incineration.",,,,95% of the metal ceiling system is directed to recycling. Environmental impacts from waste treatment of the fleece inlay and surface coating through incineration are declared in this module.,20% of the metal ceiling system (primarily substructures) is directed to recycling. Environmental impacts from waste treatment of the fleece inlay and surface coating through incineration are declared in this module.,
LMD-E 321/1,C4,Final waste disposal to landfill for non-recyclable components or process losses from the end-of-life stage.,,,,"5% of the metal ceiling system, comprising non-recyclable components and process losses, is directed to landfill.",No landfill contribution — the steel fraction is fully reused or recycled and does not contribute to landfill. C4/1 declared as 0.,
LMD-E 321/1,D,"Benefits and loads beyond the system boundary from reuse, recovery and recycling potential. Credits from avoided primary production are declared.",,,,"Credits from recycling of the 95% steel fraction, avoiding the need for new primary steel production. Module D accounts for all net benefits associated with steel scrap sent to an external recycling facility.","Credits from reuse of 80% of the ceiling system in a new building, avoiding manufacturing impacts (A1–A3) of a new product. Additional credits from recycling of the remaining 20% steel fraction sent to an external facility.",
LMD-E 340/1,A1-A3,"Production stage covers raw material handling by coil, perforating base plates, edging ceiling panels, cleaning, powder-coating and acoustic non-woven application. All production takes place at the Lindner plant in Arnstorf. Packaging materials are included (inkl. packaging).","Raw material supply (A1) covers the extraction and processing of steel coils (≥97% steel content) and ancillary materials including surface coating, acoustic non-woven (cellulose/glass) and hotmelt adhesive.","Transport of raw materials to manufacturer (A2) covers inbound logistics from all suppliers to the Lindner manufacturing facility in Arnstorf. This includes truck, rail and ship transport depending on material origin.","Lindner Manufacturing (A3) covers all production processes including perforating and punching steel coils, edging ceiling panels, cleaning, powder-coating and acoustic fleece application. Factory energy consumption and product packaging are included.",,,
LMD-E 340/1,A4,"Transport of finished metal ceiling systems from the Lindner production facility in Arnstorf to the construction site by truck. Default transport distance is 500 km, scalable.",,,,,,
LMD-E 340/1,A5,Installation of the ceiling system on site by trained drywall construction personnel. The ceiling panel and substructure are installed mechanically. Module A5 covers only the environmental loads associated with disposal of packaging waste generated on site. No further environmental loads arise during installation.,,,,,,
LMD-E 340/1,C1,"Deconstruction of the metal ceiling system from the building, including separation of steel panels and substructures on the construction site. Module is declared as 0 — no significant environmental loads arise during dismantling.",,,,Standard mechanical dismantling and sorting of ceiling panels and substructures on the construction site. Materials separated for transport to recycling facility. Module declared as 0.,Careful manual disassembly by trained professionals to preserve product integrity for reuse in a new building. No damage to ceiling panels during dismantling. Module declared as 0.,
LMD-E 340/1,C2,"Transport of ceiling panels and substructures from the deconstruction site to the waste processing facility or, in the case of reuse, to a new building location.",,,,Ceiling products transported 100 km by diesel truck from the deconstruction site to the nearest recycling centre.,80% of products transported 500 km to the new building location. Remaining 20% (primarily substructures) transported 100 km to the nearest recycling centre by diesel truck.,
LMD-E 340/1,C3,"Waste processing operations at end of life. For the steel fraction, material is prepared for recycling. The acoustic fleece inlay and surface coating are sent for incineration.",,,,95% of the metal ceiling system is directed to recycling. Environmental impacts from waste treatment of the fleece inlay and surface coating through incineration are declared in this module.,20% of the metal ceiling system (primarily substructures) is directed to recycling. Environmental impacts from waste treatment of the fleece inlay and surface coating through incineration are declared in this module.,
LMD-E 340/1,C4,Final waste disposal to landfill for non-recyclable components or process losses from the end-of-life stage.,,,,"5% of the metal ceiling system, comprising non-recyclable components and process losses, is directed to landfill.",No landfill contribution — the steel fraction is fully reused or recycled and does not contribute to landfill. C4/1 declared as 0.,
LMD-E 340/1,D,"Benefits and loads beyond the system boundary from reuse, recovery and recycling potential. Credits from avoided primary production are declared.",,,,"Credits from recycling of the 95% steel fraction, avoiding the need for new primary steel production. Module D accounts for all net benefits associated with steel scrap sent to an external recycling facility.","Credits from reuse of 80% of the ceiling system in a new building, avoiding manufacturing impacts (A1–A3) of a new product. Additional credits from recycling of the remaining 20% steel fraction sent to an external facility.",
LMD-K 400,A1-A3,"Production stage covers raw material handling by coil, perforating base plates, edging ceiling panels, cleaning, powder-coating and acoustic non-woven application. All production takes place at the Lindner plant in Arnstorf. Packaging materials are included (inkl. packaging).","Raw material supply (A1) covers the extraction and processing of steel coils (≥97% steel content) and ancillary materials including surface coating, acoustic non-woven (cellulose/glass) and hotmelt adhesive.","Transport of raw materials to manufacturer (A2) covers inbound logistics from all suppliers to the Lindner manufacturing facility in Arnstorf. This includes truck, rail and ship transport depending on material origin.","Lindner Manufacturing (A3) covers all production processes including perforating and punching steel coils, edging ceiling panels, cleaning, powder-coating and acoustic fleece application. Factory energy consumption and product packaging are included.",,,
LMD-K 400,A4,"Transport of finished metal ceiling systems from the Lindner production facility in Arnstorf to the construction site by truck. Default transport distance is 500 km, scalable.",,,,,,
LMD-K 400,A5,Installation of the ceiling system on site by trained drywall construction personnel. The ceiling panel and substructure are installed mechanically. Module A5 covers only the environmental loads associated with disposal of packaging waste generated on site. No further environmental loads arise during installation.,,,,,,
LMD-K 400,C1,"Deconstruction of the metal ceiling system from the building, including separation of steel panels and substructures on the construction site. Module is declared as 0 — no significant environmental loads arise during dismantling.",,,,Standard mechanical dismantling and sorting of ceiling panels and substructures on the construction site. Materials separated for transport to recycling facility. Module declared as 0.,Careful manual disassembly by trained professionals to preserve product integrity for reuse in a new building. No damage to ceiling panels during dismantling. Module declared as 0.,
LMD-K 400,C2,"Transport of ceiling panels and substructures from the deconstruction site to the waste processing facility or, in the case of reuse, to a new building location.",,,,Ceiling products transported 100 km by diesel truck from the deconstruction site to the nearest recycling centre.,80% of products transported 500 km to the new building location. Remaining 20% (primarily substructures) transported 100 km to the nearest recycling centre by diesel truck.,
LMD-K 400,C3,"Waste processing operations at end of life. For the steel fraction, material is prepared for recycling. The acoustic fleece inlay and surface coating are sent for incineration.",,,,95% of the metal ceiling system is directed to recycling. Environmental impacts from waste treatment of the fleece inlay and surface coating through incineration are declared in this module.,20% of the metal ceiling system (primarily substructures) is directed to recycling. Environmental impacts from waste treatment of the fleece inlay and surface coating through incineration are declared in this module.,
LMD-K 400,C4,Final waste disposal to landfill for non-recyclable components or process losses from the end-of-life stage.,,,,"5% of the metal ceiling system, comprising non-recyclable components and process losses, is directed to landfill.",No landfill contribution — the steel fraction is fully reused or recycled and does not contribute to landfill. C4/1 declared as 0.,
LMD-K 400,D,"Benefits and loads beyond the system boundary from reuse, recovery and recycling potential. Credits from avoided primary production are declared.",,,,"Credits from recycling of the 95% steel fraction, avoiding the need for new primary steel production. Module D accounts for all net benefits associated with steel scrap sent to an external recycling facility.","Credits from reuse of 80% of the ceiling system in a new building, avoiding manufacturing impacts (A1–A3) of a new product. Additional credits from recycling of the remaining 20% steel fraction sent to an external facility.",
LMD-K 403,A1-A3,"Production stage covers raw material handling by coil, perforating base plates, edging ceiling panels, cleaning, powder-coating and acoustic non-woven application. All production takes place at the Lindner plant in Arnstorf. Packaging materials are included (inkl. packaging).","Raw material supply (A1) covers the extraction and processing of steel coils (≥97% steel content) and ancillary materials including surface coating, acoustic non-woven (cellulose/glass) and hotmelt adhesive.","Transport of raw materials to manufacturer (A2) covers inbound logistics from all suppliers to the Lindner manufacturing facility in Arnstorf. This includes truck, rail and ship transport depending on material origin.","Lindner Manufacturing (A3) covers all production processes including perforating and punching steel coils, edging ceiling panels, cleaning, powder-coating and acoustic fleece application. Factory energy consumption and product packaging are included.",,,
LMD-K 403,A4,"Transport of finished metal ceiling systems from the Lindner production facility in Arnstorf to the construction site by truck. Default transport distance is 500 km, scalable.",,,,,,
LMD-K 403,A5,Installation of the ceiling system on site by trained drywall construction personnel. The ceiling panel and substructure are installed mechanically. Module A5 covers only the environmental loads associated with disposal of packaging waste generated on site. No further environmental loads arise during installation.,,,,,,
LMD-K 403,C1,"Deconstruction of the metal ceiling system from the building, including separation of steel panels and substructures on the construction site. Module is declared as 0 — no significant environmental loads arise during dismantling.",,,,Standard mechanical dismantling and sorting of ceiling panels and substructures on the construction site. Materials separated for transport to recycling facility. Module declared as 0.,Careful manual disassembly by trained professionals to preserve product integrity for reuse in a new building. No damage to ceiling panels during dismantling. Module declared as 0.,
LMD-K 403,C2,"Transport of ceiling panels and substructures from the deconstruction site to the waste processing facility or, in the case of reuse, to a new building location.",,,,Ceiling products transported 100 km by diesel truck from the deconstruction site to the nearest recycling centre.,80% of products transported 500 km to the new building location. Remaining 20% (primarily substructures) transported 100 km to the nearest recycling centre by diesel truck.,
LMD-K 403,C3,"Waste processing operations at end of life. For the steel fraction, material is prepared for recycling. The acoustic fleece inlay and surface coating are sent for incineration.",,,,95% of the metal ceiling system is directed to recycling. Environmental impacts from waste treatment of the fleece inlay and surface coating through incineration are declared in this module.,20% of the metal ceiling system (primarily substructures) is directed to recycling. Environmental impacts from waste treatment of the fleece inlay and surface coating through incineration are declared in this module.,
LMD-K 403,C4,Final waste disposal to landfill for non-recyclable components or process losses from the end-of-life stage.,,,,"5% of the metal ceiling system, comprising non-recyclable components and process losses, is directed to landfill.",No landfill contribution — the steel fraction is fully reused or recycled and does not contribute to landfill. C4/1 declared as 0.,
LMD-K 403,D,"Benefits and loads beyond the system boundary from reuse, recovery and recycling potential. Credits from avoided primary production are declared.",,,,"Credits from recycling of the 95% steel fraction, avoiding the need for new primary steel production. Module D accounts for all net benefits associated with steel scrap sent to an external recycling facility.","Credits from reuse of 80% of the ceiling system in a new building, avoiding manufacturing impacts (A1–A3) of a new product. Additional credits from recycling of the remaining 20% steel fraction sent to an external facility.",
LMD-K 420,A1-A3,"Production stage covers raw material handling by coil, perforating base plates, edging ceiling panels, cleaning, powder-coating and acoustic non-woven application. All production takes place at the Lindner plant in Arnstorf. Packaging materials are included (inkl. packaging).","Raw material supply (A1) covers the extraction and processing of steel coils (≥97% steel content) and ancillary materials including surface coating, acoustic non-woven (cellulose/glass) and hotmelt adhesive.","Transport of raw materials to manufacturer (A2) covers inbound logistics from all suppliers to the Lindner manufacturing facility in Arnstorf. This includes truck, rail and ship transport depending on material origin.","Lindner Manufacturing (A3) covers all production processes including perforating and punching steel coils, edging ceiling panels, cleaning, powder-coating and acoustic fleece application. Factory energy consumption and product packaging are included.",,,
LMD-K 420,A4,"Transport of finished metal ceiling systems from the Lindner production facility in Arnstorf to the construction site by truck. Default transport distance is 500 km, scalable.",,,,,,
LMD-K 420,A5,Installation of the ceiling system on site by trained drywall construction personnel. The ceiling panel and substructure are installed mechanically. Module A5 covers only the environmental loads associated with disposal of packaging waste generated on site. No further environmental loads arise during installation.,,,,,,
LMD-K 420,C1,"Deconstruction of the metal ceiling system from the building, including separation of steel panels and substructures on the construction site. Module is declared as 0 — no significant environmental loads arise during dismantling.",,,,Standard mechanical dismantling and sorting of ceiling panels and substructures on the construction site. Materials separated for transport to recycling facility. Module declared as 0.,Careful manual disassembly by trained professionals to preserve product integrity for reuse in a new building. No damage to ceiling panels during dismantling. Module declared as 0.,
LMD-K 420,C2,"Transport of ceiling panels and substructures from the deconstruction site to the waste processing facility or, in the case of reuse, to a new building location.",,,,Ceiling products transported 100 km by diesel truck from the deconstruction site to the nearest recycling centre.,80% of products transported 500 km to the new building location. Remaining 20% (primarily substructures) transported 100 km to the nearest recycling centre by diesel truck.,
LMD-K 420,C3,"Waste processing operations at end of life. For the steel fraction, material is prepared for recycling. The acoustic fleece inlay and surface coating are sent for incineration.",,,,95% of the metal ceiling system is directed to recycling. Environmental impacts from waste treatment of the fleece inlay and surface coating through incineration are declared in this module.,20% of the metal ceiling system (primarily substructures) is directed to recycling. Environmental impacts from waste treatment of the fleece inlay and surface coating through incineration are declared in this module.,
LMD-K 420,C4,Final waste disposal to landfill for non-recyclable components or process losses from the end-of-life stage.,,,,"5% of the metal ceiling system, comprising non-recyclable components and process losses, is directed to landfill.",No landfill contribution — the steel fraction is fully reused or recycled and does not contribute to landfill. C4/1 declared as 0.,
LMD-K 420,D,"Benefits and loads beyond the system boundary from reuse, recovery and recycling potential. Credits from avoided primary production are declared.",,,,"Credits from recycling of the 95% steel fraction, avoiding the need for new primary steel production. Module D accounts for all net benefits associated with steel scrap sent to an external recycling facility.","Credits from reuse of 80% of the ceiling system in a new building, avoiding manufacturing impacts (A1–A3) of a new product. Additional credits from recycling of the remaining 20% steel fraction sent to an external facility.",
LMD-St 213,A1-A3,"Production stage covers raw material handling by coil, perforating base plates, edging ceiling panels, cleaning, powder-coating and acoustic non-woven application. All production takes place at the Lindner plant in Arnstorf. Packaging materials are included (inkl. packaging).","Raw material supply (A1) covers the extraction and processing of steel coils (≥97% steel content) and ancillary materials including surface coating, acoustic non-woven (cellulose/glass) and hotmelt adhesive.","Transport of raw materials to manufacturer (A2) covers inbound logistics from all suppliers to the Lindner manufacturing facility in Arnstorf. This includes truck, rail and ship transport depending on material origin.","Lindner Manufacturing (A3) covers all production processes including perforating and punching steel coils, edging ceiling panels, cleaning, powder-coating and acoustic fleece application. Factory energy consumption and product packaging are included.",,,
LMD-St 213,A4,"Transport of finished metal ceiling systems from the Lindner production facility in Arnstorf to the construction site by truck. Default transport distance is 500 km, scalable.",,,,,,
LMD-St 213,A5,Installation of the ceiling system on site by trained drywall construction personnel. The ceiling panel and substructure are installed mechanically. Module A5 covers only the environmental loads associated with disposal of packaging waste generated on site. No further environmental loads arise during installation.,,,,,,
LMD-St 213,C1,"Deconstruction of the metal ceiling system from the building, including separation of steel panels and substructures on the construction site. Module is declared as 0 — no significant environmental loads arise during dismantling.",,,,Standard mechanical dismantling and sorting of ceiling panels and substructures on the construction site. Materials separated for transport to recycling facility. Module declared as 0.,Careful manual disassembly by trained professionals to preserve product integrity for reuse in a new building. No damage to ceiling panels during dismantling. Module declared as 0.,
LMD-St 213,C2,"Transport of ceiling panels and substructures from the deconstruction site to the waste processing facility or, in the case of reuse, to a new building location.",,,,Ceiling products transported 100 km by diesel truck from the deconstruction site to the nearest recycling centre.,80% of products transported 500 km to the new building location. Remaining 20% (primarily substructures) transported 100 km to the nearest recycling centre by diesel truck.,
LMD-St 213,C3,"Waste processing operations at end of life. For the steel fraction, material is prepared for recycling. The acoustic fleece inlay and surface coating are sent for incineration.",,,,95% of the metal ceiling system is directed to recycling. Environmental impacts from waste treatment of the fleece inlay and surface coating through incineration are declared in this module.,20% of the metal ceiling system (primarily substructures) is directed to recycling. Environmental impacts from waste treatment of the fleece inlay and surface coating through incineration are declared in this module.,
LMD-St 213,C4,Final waste disposal to landfill for non-recyclable components or process losses from the end-of-life stage.,,,,"5% of the metal ceiling system, comprising non-recyclable components and process losses, is directed to landfill.",No landfill contribution — the steel fraction is fully reused or recycled and does not contribute to landfill. C4/1 declared as 0.,
LMD-St 213,D,"Benefits and loads beyond the system boundary from reuse, recovery and recycling potential. Credits from avoided primary production are declared.",,,,"Credits from recycling of the 95% steel fraction, avoiding the need for new primary steel production. Module D accounts for all net benefits associated with steel scrap sent to an external recycling facility.","Credits from reuse of 80% of the ceiling system in a new building, avoiding manufacturing impacts (A1–A3) of a new product. Additional credits from recycling of the remaining 20% steel fraction sent to an external facility.",
LMD-St 213 BWS,A1-A3,"Production stage covers raw material handling by coil, perforating base plates, edging ceiling panels, cleaning, powder-coating and acoustic non-woven application. All production takes place at the Lindner plant in Arnstorf. Packaging materials are included (inkl. packaging).","Raw material supply (A1) covers the extraction and processing of steel coils (≥97% steel content) and ancillary materials including surface coating, acoustic non-woven (cellulose/glass) and hotmelt adhesive.","Transport of raw materials to manufacturer (A2) covers inbound logistics from all suppliers to the Lindner manufacturing facility in Arnstorf. This includes truck, rail and ship transport depending on material origin.","Lindner Manufacturing (A3) covers all production processes including perforating and punching steel coils, edging ceiling panels, cleaning, powder-coating and acoustic fleece application. Factory energy consumption and product packaging are included.",,,
LMD-St 213 BWS,A4,"Transport of finished metal ceiling systems from the Lindner production facility in Arnstorf to the construction site by truck. Default transport distance is 500 km, scalable.",,,,,,
LMD-St 213 BWS,A5,Installation of the ceiling system on site by trained drywall construction personnel. The ceiling panel and substructure are installed mechanically. Module A5 covers only the environmental loads associated with disposal of packaging waste generated on site. No further environmental loads arise during installation.,,,,,,
LMD-St 213 BWS,C1,"Deconstruction of the metal ceiling system from the building, including separation of steel panels and substructures on the construction site. Module is declared as 0 — no significant environmental loads arise during dismantling.",,,,Standard mechanical dismantling and sorting of ceiling panels and substructures on the construction site. Materials separated for transport to recycling facility. Module declared as 0.,Careful manual disassembly by trained professionals to preserve product integrity for reuse in a new building. No damage to ceiling panels during dismantling. Module declared as 0.,
LMD-St 213 BWS,C2,"Transport of ceiling panels and substructures from the deconstruction site to the waste processing facility or, in the case of reuse, to a new building location.",,,,Ceiling products transported 100 km by diesel truck from the deconstruction site to the nearest recycling centre.,80% of products transported 500 km to the new building location. Remaining 20% (primarily substructures) transported 100 km to the nearest recycling centre by diesel truck.,
LMD-St 213 BWS,C3,"Waste processing operations at end of life. For the steel fraction, material is prepared for recycling. The acoustic fleece inlay and surface coating are sent for incineration.",,,,95% of the metal ceiling system is directed to recycling. Environmental impacts from waste treatment of the fleece inlay and surface coating through incineration are declared in this module.,20% of the metal ceiling system (primarily substructures) is directed to recycling. Environmental impacts from waste treatment of the fleece inlay and surface coating through incineration are declared in this module.,
